Orthogroup	CAPO3	BRAFL
OG0000003	CAPO301945	bflo_08943, bflo_09100, bflo_09110, bflo_26615, bflo_04790, bflo_02237, bflo_26614, bflo_26996, bflo_01321, bflo_23600, bflo_24207, bflo_19873, bflo_26986, bflo_08714, bflo_26737, bflo_26114, bflo_26682, bflo_26930, bflo_19434, bflo_27269, bflo_15766, bflo_22230, bflo_24151, bflo_26929, bflo_27439, bflo_09845, bflo_26599, bflo_26600, bflo_26598, bflo_26004, bflo_02645, bflo_18522, bflo_19532
OG0000005	CAPO308356, CAPO307946	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770, bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372, bflo_13407, bflo_07266, bflo_08461, bflo_08460, bflo_07020, bflo_07656, bflo_07021, bflo_13613, bflo_13706, bflo_13036, bflo_00914, bflo_00505, bflo_00504, bflo_00482, bflo_00815, bflo_19551, bflo_26509, bflo_10917
OG0000006	CAPO302620	bflo_10980
OG0000007	CAPO304209	bflo_12369, bflo_21087, bflo_23309
OG0000007	CAPO303284	bflo_23091
OG0000007	CAPO300935	bflo_24497
OG0000007	CAPO305123	bflo_11392
OG0000012	CAPO302923, CAPO302931	bflo_10914, bflo_11151, bflo_12368, bflo_25561, bflo_24862, bflo_04680, bflo_21369, bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370, bflo_00214, bflo_03201, bflo_12089, bflo_03151, bflo_14493, bflo_14233, bflo_14492, bflo_14491, bflo_15468, bflo_23300, bflo_13550, bflo_14004, bflo_13556, bflo_22373, bflo_23580, bflo_22924, bflo_13858, bflo_23041, bflo_08994, bflo_08989, bflo_13492, bflo_13855, bflo_27094, bflo_13060, bflo_15354, bflo_14447, bflo_14731, bflo_13607, bflo_24594, bflo_16244, bflo_17650, bflo_27278, bflo_23543
OG0000015	CAPO302521	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473, bflo_11972, bflo_10460, bflo_14872, bflo_14874, bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	CAPO304360	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	CAPO306803	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276, bflo_24737
OG0000016	CAPO303259	bflo_12769
OG0000016	CAPO300936	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656, bflo_01790, bflo_20387
OG0000023	CAPO307690	bflo_10816, bflo_10061, bflo_25079, bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512, bflo_20456, bflo_03801, bflo_20063, bflo_12134, bflo_20667, bflo_16641, bflo_17014, bflo_22812, bflo_03971, bflo_03972, bflo_00874, bflo_06832, bflo_14042, bflo_20896, bflo_10033, bflo_02724, bflo_02807, bflo_02853, bflo_20954
OG0000029	CAPO307131	bflo_00003, bflo_25831, bflo_00316, bflo_26576, bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	CAPO300110	bflo_08323, bflo_05230
OG0000030	CAPO305356, CAPO301638, CAPO307563	bflo_21886, bflo_25955, bflo_23616, bflo_02525, bflo_05555, bflo_23730, bflo_21367, bflo_09678, bflo_10382, bflo_09719, bflo_22462
OG0000031	CAPO303729	bflo_06369
OG0000031	CAPO302122	bflo_11397
OG0000035	CAPO307346, CAPO308354	bflo_02157, bflo_10387, bflo_26954, bflo_10385, bflo_09462, bflo_10324, bflo_10556, bflo_09279, bflo_10372, bflo_09995, bflo_09994, bflo_08803, bflo_09280, bflo_10711, bflo_09767, bflo_09277, bflo_10386
OG0000039	CAPO302254	bflo_02223, bflo_02227, bflo_03136, bflo_27317, bflo_19899, bflo_03164, bflo_20754, bflo_03799, bflo_03159, bflo_03174, bflo_20755, bflo_19898, bflo_16202, bflo_02225, bflo_27318, bflo_00568, bflo_03800
OG0000041	CAPO308025, CAPO306861	bflo_00106, bflo_13477, bflo_00582, bflo_00913, bflo_10831, bflo_18111, bflo_17887, bflo_18216, bflo_16501, bflo_17380, bflo_17886, bflo_08425, bflo_05530, bflo_18780, bflo_09009, bflo_26911, bflo_03344, bflo_12945, bflo_18109, bflo_01738, bflo_05956
OG0000043	CAPO308256	bflo_21607, bflo_03333, bflo_03334, bflo_21606, bflo_22480, bflo_21604, bflo_03332, bflo_20396, bflo_20397, bflo_26387, bflo_26388, bflo_26390, bflo_26385, bflo_26389, bflo_26386, bflo_01851, bflo_26391, bflo_26228, bflo_17461, bflo_25593, bflo_25594, bflo_25592, bflo_23222, bflo_23223, bflo_23219, bflo_23220, bflo_23221, bflo_23218, bflo_23236, bflo_18646, bflo_23211, bflo_07587, bflo_23226, bflo_23242, bflo_23238, bflo_23225, bflo_23224
OG0000048	CAPO305301	bflo_15152
OG0000048	CAPO304823	bflo_12849
OG0000049	CAPO304018	bflo_20713, bflo_17665, bflo_12099, bflo_12470, bflo_11081, bflo_24254, bflo_25115, bflo_17113, bflo_17536, bflo_20711, bflo_20926, bflo_27352, bflo_20712, bflo_17096, bflo_11847
OG0000051	CAPO307809, CAPO301249	bflo_10647, bflo_09149, bflo_08177, bflo_07909, bflo_07908, bflo_08424, bflo_08234, bflo_08120, bflo_08121, bflo_08122, bflo_02540, bflo_02589, bflo_02539, bflo_08374, bflo_10741, bflo_06938, bflo_08542, bflo_07135, bflo_08711, bflo_18195, bflo_17371
OG0000054	CAPO303213, CAPO305653	bflo_16354, bflo_16689
OG0000054	CAPO302015	bflo_04388
